Promedio,Máximo,Frecuencia del Máximo,Combinación
6.333333333333333,9.0,2.0,"A, C, N, X"
5.0,13.0,1.0,"A, C, N, Y"
5.666666666666667,9.0,1.0,"A, C, N, Z"
8.666666666666666,17.0,1.0,"A, C, O, P"
6.0,15.0,1.0,"A, C, O, Q"
8.0,15.0,1.0,"A, C, O, R"
8.333333333333334,15.0,1.0,"A, C, O, S"
6.333333333333333,15.0,1.0,"A, C, O, T"
8.666666666666666,15.0,2.0,"A, C, O, U"
6.666666666666667,15.0,1.0,"A, C, O, V"
6.333333333333333,15.0,1.0,"A, C, O, W"
10.0,17.0,1.0,"A, C, O, X"
8.666666666666666,15.0,1.0,"A, C, O, Y"
7.0,15.0,1.0,"A, C, O, Z"
6.333333333333333,17.0,1.0,"A, C, P, Q"
10.0,21.0,1.0,"A, C, P, R"
7.666666666666667,17.0,1.0,"A, C, P, S"
6.0,17.0,1.0,"A, C, P, T"
5.666666666666667,17.0,1.0,"A, C, P, U"
5.666666666666667,17.0,1.0,"A, C, P, V"
6.0,17.0,1.0,"A, C, P, W"
7.333333333333333,17.0,1.0,"A, C, P, X"
7.333333333333333,17.0,1.0,"A, C, P, Y"
6.333333333333333,17.0,1.0,"A, C, P, Z"
5.666666666666667,13.0,1.0,"A, C, Q, R"
5.666666666666667,9.0,1.0,"A, C, Q, S"
3.6666666666666665,5.0,3.0,"A, C, Q, T"
4.666666666666667,9.0,1.0,"A, C, Q, U"
3.3333333333333335,5.0,2.0,"A, C, Q, V"
3.6666666666666665,7.0,1.0,"A, C, Q, W"
4.666666666666667,9.0,1.0,"A, C, Q, X"
5.0,13.0,1.0,"A, C, Q, Y"
4.333333333333333,9.0,1.0,"A, C, Q, Z"
7.0,13.0,1.0,"A, C, R, S"
5.333333333333333,13.0,1.0,"A, C, R, T"
5.0,13.0,1.0,"A, C, R, U"
4.666666666666667,13.0,1.0,"A, C, R, V"
5.0,13.0,1.0,"A, C, R, W"
7.333333333333333,13.0,1.0,"A, C, R, X"
6.666666666666667,13.0,2.0,"A, C, R, Y"
5.666666666666667,13.0,1.0,"A, C, R, Z"
